dimension,sub_dimension,requested_metrics,current_columns,status,notes
Shape,Linearity and monotonicity,Pearson/Spearman/Kendall and absolute variants,pearson_r; spearman_rho; kendall_tau; abs_pearson_r; abs_spearman_r; abs_spearman_minus_abs_pearson,present,"Computed on fitted curve coordinates, matching the CSV definition."
Shape,Net directional change,raw/absolute/normalized net change,raw_net_change; absolute_net_change; normalized_net_change; normalized_absolute_net_change,present,Normalized net change uses min-max normalized fitted y.
Shape,Positive/negative/flat slope fraction,slope sign fractions and monotonic fraction,positive_slope_fraction; negative_slope_fraction; flat_slope_fraction; dominant_slope_sign; monotonic_fraction; number_of_slope_sign_changes,present,Uses normalized x/y local slopes and slope_tol=0.03.
Shape,Early/middle/late directional pattern,early/middle/late slopes and sign consistency/opposition,early_slope; middle_slope; late_slope; early_absolute_slope; middle_absolute_slope; late_absolute_slope; early_late_slope_sign_consistency; early_late_slope_sign_opposition,present,Signed slopes are shape evidence; absolute values overlap with Strength.
Shape,Curvature and turning behaviour,internal extrema and turning point,has_internal_valley; has_internal_peak; number_of_internal_extrema; turning_point_x_norm; turning_point_y_norm; turning_point_type; turning_point_x; piecewise_breakpoint,present,piecewise_breakpoint only applies to Piecewise linear method.
Shape,U-shape / inverse-U evidence,two-line proxy and formal U-test placeholders,two_line_left_slope; two_line_right_slope; two_line_left_p; two_line_right_p; two_line_test_evidence; u_test_stat; u_test_p; lind_mehlum_stat; lind_mehlum_p,partial,Two-line proxy is computed. Formal U-test and Lind-Mehlum fields remain NaN/unimplemented.
Shape,Rule-based shape label,derived label,shape_label,present,Rule-based label for interpretation; not the primary evidence.
Strength,Overall response magnitude,amplitude/net change/total variation SD-normalized and normalized,raw_amplitude; amplitude_norm_by_y_sd; amplitude_norm_by_y_range; net_change_by_sd; absolute_net_change_by_sd; raw_total_variation; total_variation_by_sd; normalized_total_variation,present,"Updated to match your CSV: SD-normalized amplitude, net change, and total variation are included."
Strength,Local strength variation,absolute and segment slopes,mean_absolute_slope; median_absolute_slope; max_absolute_slope; slope_standard_deviation; slope_interquartile_range; early_absolute_standardized_slope; middle_absolute_standardized_slope; late_absolute_standardized_slope,present,Uses normalized x/y slopes.
Strength,Standardized slope,signed and absolute standardized slopes,overall_standardized_slope; mean_standardized_absolute_slope; max_standardized_absolute_slope; early_standardized_slope; middle_standardized_slope; late_standardized_slope,present,Signed standardized slope keeps direction; absolute versions quantify magnitude.
Strength,Accumulated response variation,accumulated variation and normalized total variation,accumulated_absolute_variation_final_value; accumulated_absolute_variation_early_value; accumulated_absolute_variation_middle_value; accumulated_absolute_variation_late_value; accumulated_slope_* legacy aliases; normalized_total_variation,present,Uses cumsum(abs(diff(y_fit_norm))) rather than unweighted cumsum(abs(slope)).
Strength,Elasticity,absolute elasticity summaries,mean_absolute_elasticity; median_absolute_elasticity; max_absolute_elasticity,present,Safe implementation excludes zero/non-finite x_mid or y_mid.
Tightness,Overall tightness,"R2, RMSE, NRMSE, residual spread, buffer by SD",r_squared; rmse; nrmse_by_sd; nrmse_by_raw_y_range; residual_variance; residual_standard_deviation; mean_absolute_residual; median_absolute_residual; buffer_width_90; buffer_width_95; buffer_width90_by_sd; buffer_width95_by_sd,present,Updated to match your Tightness table. SD/range denominators use full finite raw y for the relation.
Tightness,Predictive uncertainty / buffer width,residual interval width raw and SD-normalized,residual_90_interval_width; residual_95_interval_width; residual_90_interval_width_by_sd; residual_95_interval_width_by_sd; buffer_width90_by_sd; buffer_width95_by_sd,present,Raw buffer widths and SD-normalized versions are included.
Tightness,Local tightness,early/middle/late residual metrics and SD-normalized RMSE/buffers,early/middle/late_rmse; early/middle/late_rmse_by_sd; early/middle/late_residual_variance; early/middle/late_mean_absolute_residual; early/middle/late_median_absolute_residual; early/middle/late_buffer_width_90/95; early/middle/late_buffer_width90/95_by_sd,present,Updated to match your local Tightness definition.
Tightness,Bin-based data certainty,bin buffer and certainty score,median_bin_buffer90; bin_buffer90_by_sd; bin_data_certainty_score90; etc.,not in current main metrics,"Previously computed for HW/T in certainty_output. Not part of the current fitted-curve residual table because it is bin-spread based, not residual-to-fitted-curve based."
Tightness,Endpoint certainty,early/late bin buffer support,early_bin_buffer90_by_sd; late_bin_buffer90_by_sd; endpoint_bin_buffer90_by_sd; endpoint_asymmetry90; endpoint_certainty_score90,not in current main metrics,Previously computed for HW/T in certainty_output. Can be added as a separate bin-certainty module if needed for all target relations.
