column_name,aspect,sub_aspect,formula_or_rule,scale,notes
__notation_accumulated_variation__,Notation,Accumulated absolute variation,A_j = cumsum(abs(diff(y_fit_norm))) at fitted-curve segment midpoints; this equals cumsum(abs(local_slope_j) * dx_norm_j).,normalized fitted y variation,Used for accumulated response strength to avoid point-count sensitivity from unweighted slope sums.
__notation__,Notation,Curve coordinates,"(x_j, y_j) are fitted curve points sorted by x; j = 1,...,J.",,Duplicate fitted x values are collapsed by median y before metrics.
__notation_norm__,Notation,Normalization,x_norm_j = (x_j - min(x_fit)) / (max(x_fit) - min(x_fit)); y_norm_j = (y_j - min(y_fit)) / (max(y_fit) - min(y_fit)).,normalized,"If the denominator is zero or non-finite, normalized metrics are NaN."
__notation_slope__,Notation,Local slopes,s_j = diff(y_norm)_j / diff(x_norm)_j; x_mid_j = (x_norm_j + x_norm_{j+1}) / 2.,normalized,Only finite segments with non-zero dx are used. slope_tol = 0.03.
__notation_segments__,Notation,Early/middle/late segments,"early: normalized x or x_mid in [0, 1/3]; middle: (1/3, 2/3]; late: (2/3, 1].",normalized,Slope segment metrics use x_mid; residual segment metrics use normalized raw x evaluation positions.
__notation_residual__,Notation,Residuals,"residual_i = y_raw_i - interp(x_raw_i; x_fit, y_fit).",raw,Raw points outside the fitted x range are excluded to avoid extrapolation.
__notation_quantile__,Notation,Quantiles,q_p(z) is the pth percentile of z; IQR(z) = q_75(z) - q_25(z).,,
__notation_tightness_denominators__,Notation,Tightness normalization,"SD(y_raw) and range(y_raw) are computed over all finite raw y values for the relation, not only the retained interpolation range.",raw y scale,Residuals are still computed only where raw x lies inside the fitted curve x range.
analysis_group,Identifier,Target analysis,Assigned target-analysis name: HW_T or all_zones_E_soil.,,
zone,Identifier,Climate zone,Climate-zone code for the relation.,,"HW, HD, CW, CD."
model,Identifier,Model,Model name for the relation.,,CLASSIC or LPJ-GUESS.
x_label,Identifier,Input variable,Input variable label used for x.,,P or LAI in this run.
y_label,Identifier,Output variable,Output variable label used for y.,,T or E_soil in this run.
method,Identifier,Fitting method,Fitting method used to estimate the curve.,,One of the seven configured methods.
n_raw_points,Metadata,Sample size,count(finite x_raw and finite y_raw) before fitting.,count,
n_curve_points,Metadata,Curve size,J = count(finite fitted curve points after sorting and duplicate-x handling).,count,
pearson_r,Shape,Linearity and monotonicity,"PearsonCorr(x_fit, y_fit).",raw fitted curve coordinates,"Computed on fitted curve coordinates, not raw scatter."
