period_or_notebook,output_files,scope,metric_family,main_metrics,formula_notes,difference_from_current
Apr 20-22 / step3_longterm_EDA.ipynb,outputs/loglog_summary.csv; outputs/mic_*,All zones; all 8 P/LAI -> ET/T/E_veg/E_soil pairs; CLASSIC and LPJ-GUESS,Raw association / nonlinear dependence,"log-log slope, intercept, r, r2, p_value, stderr; MIC",loglog: linear regression on log-transformed raw x/y; MIC from MINE on raw scatter.,"Not fitted-curve Shape/Strength/Tightness. Correlations/dependence are raw-scatter based, not curve-coordinate based."
Apr 21-22 / step4.1_ww.ipynb,outputs/hw_gam_metrics.csv; outputs/hw_saturation_curvefit_results.csv; certainty_output/hw_lowess_fit_metrics.csv,HW only; P/LAI -> T/E_soil; CLASSIC and LPJ-GUESS,Fit quality / certainty,"gam_r2, pseudo_r2, edf, r2, rmse, mae, residual_variance, fitted_range",Residual metrics use y_raw - y_pred for a specific method such as LOWESS/GAM/saturation curvefit.,Current Tightness generalizes residual metrics to all seven methods and all requested HW T + all-zone E_soil relations; old files are method-specific and HW-only.
Apr 21-22 / step4.1_ww.ipynb,strength_output/hw_lowess_metrics.csv; strength_output/hw_equal_width_binned_metrics.csv; strength_output/hw_lowess_slope_metrics.csv,HW only; P/LAI -> T/E_soil; CLASSIC and LPJ-GUESS,Early strength / saturation,"fitted_range, mean_abs_slope, max_abs_slope, head_slope, mid_slope, tail_slope, slope_drop, saturation_index",saturation_index = 1 - tail_mean_abs_slope / head_mean_abs_slope; slopes often use raw x or x-scaled-only variants depending on file.,"Current slope metrics use both normalized x and normalized fitted y. Old scaledx files normalize x only, so slope magnitudes are in raw y units per normalized x."
Apr 21-22 / step4.1_ww.ipynb,outputs/hw_saturation_ratio_first_half_second_half.csv; outputs/hw_three_segment_slopes_by_quantiles.csv,HW only; P/LAI -> T/E_soil; CLASSIC and LPJ-GUESS,Segment slope saturation,"s_early, s_late, r_early, r_late, saturation_ratio, head_slope, mid_slope, tail_slope",Two-segment uses median x split and linregress per half. Three-segment uses x quantiles and edge median slopes.,"Current early/middle/late slopes are computed from fitted curve local slopes over normalized x thirds, not raw-scatter segment regressions."
Apr 21-22 / step4.1_ww.ipynb,certainty_output/hw_binned_buffer_metrics.csv; outputs/hw_binned_buffer_summary.csv,HW only; P/LAI -> T/E_soil; CLASSIC and LPJ-GUESS,Binned buffer / data spread,"mean_buffer_abs, median_buffer_abs, max_buffer_abs, head_mean_buffer_abs, tail_mean_buffer_abs, mean_buffer_rel, tail_buffer_rel",buffer_abs = q95(y in bin) - q05(y in bin); buffer_rel = buffer_abs / abs(y_median).,Current buffer widths are residual-based around fitted curves. Old buffer metrics are raw y spread within x bins.
Apr 22 / form_output early files,form_output/hw_correlations.csv; form_output/hw_curve_style_and_net_change.csv,HW only; P/LAI -> T/E_soil; CLASSIC and LPJ-GUESS; LOWESS + binned methods,Early Form + Strength,"pearson_r, spearman_rho, form_label, curvature_label, net_change, fitted_range, mean_abs_slope, max_abs_slope, saturation_index",correlations are raw-scatter; curve style is rule-based from LOWESS/binned curve slope/curvature diagnostics.,Current Pearson/Spearman/Kendall are computed on fitted curve coordinates. Current shape_label has a different rule set and more method coverage.
May 3-5 / form_260429_start_slope*.ipynb,slope_output/slope_summary_t.csv; slope_output/relationship_descriptor_summary_t.csv,HW T only; P/LAI -> T; CLASSIC and LPJ-GUESS; seven methods,Curve descriptors / slope geometry,"fit_rmse, fit_nrmse, fit_r2, amplitude_raw, amplitude_norm, net_change_norm_by_sd, monotonicity_strength, mean_slope, pos_fraction, neg_fraction, flat_fraction, slope_trend, early/middle/late/terminal slopes, roughness_ratio, valley_depth, peak_height",Most slope descriptors use min-max normalized fitted x/y. Strength normalizers include observed y SD and common y SD. Terminal segment is explicitly tracked.,"Closest predecessor to current metrics, but only HW T. Current expands to all-zone E_soil and separates Shape/Strength/Tightness; it drops terminal descriptors and adds Kendall, formal-test placeholders, residual local buffers, and elasticity summaries."
May 5 / form_260429_start_slope*.ipynb,slope_output/amplitude_summary_t.csv; slope_output/amplitude_summary_robust_t.csv; slope_output/amplitude_*consensus_t.csv,HW T only; seven methods,Amplitude robustness / consensus,"amplitude_raw, amplitude_norm, amplitude_common_norm, amplitude_robust, amplitude_robust_norm, amplitude_robust_common_norm, medians/IQR/means/SD/CV across methods",amplitude_norm = fitted amplitude / relation y_obs_sd; amplitude_common_norm = fitted amplitude / common_y_sd; robust amplitude uses trimmed/robust curve range.,"Current now includes amplitude_norm_by_y_sd, which is comparable to the old SD-normalized amplitude idea, plus amplitude_norm_by_y_range. Older robust/common-SD amplitude consensus metrics are still not reproduced in the current table."
May 5 / form_260429_start_slope.ipynb,slope_output/layer1_within_curve_descriptors_T.csv; slope_output/form_atlas_pca_t.csv,HW T only; seven methods,Text descriptors / PCA atlas,"direction_descriptor, marginal_response_descriptor, terminal_descriptor, irregularity_descriptor, strength_descriptor, normalized_response_strength, PC1, PC2","Rule-based descriptors derived from slope fractions, slope ratios, terminal behavior, roughness, extrema, and normalized response strength.",Current only has one derived shape_label. It does not reproduce the older multi-descriptor text taxonomy or PCA atlas.
May 5-7 / form_260429_start_slope copy.ipynb,certainty_output/bin_buffer_certainty_summary_t.csv; certainty_output/bin_buffer_certainty_detail_t.csv; slope_output/cumulative_slope_curve_t.csv; slope_output/slope_accumulation_t.csv,HW T only; seven methods for slope accumulation; equal-width/equal-count bins for certainty,Certainty and slope accumulation,"bin_buffer90_by_sd, bin_data_certainty_score90, endpoint_certainty_score90, cumulative_absolute_change, slope_accumulation_ratio, net_to_amplitude_ratio, path_to_amplitude_ratio",Old cumulative curve uses cumulative sum of abs(dy) after x/y normalization; bin certainty uses raw within-bin q95-q05 divided by y SD.,"Current accumulated_slope follows the prompt and uses cumulative sum of abs(local slope). Current tightness buffers are residual-based, not within-bin raw spread."
